county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Columbia,41 CITY OF VERNONIA,31,,392.0,936.0,29.52,344.0,881.0,28.08,-1.44,true,Gutierrez,7.8,,,,,,
Columbia,44 RURAL VERNONIA,31,,233.0,578.0,28.73,202.0,560.0,26.51,-2.22,true,Gutierrez,6.0,,,,,,
Columbia,46 APIARY,31,,198.0,460.0,30.09,170.0,446.0,27.6,-2.49,true,Gutierrez,6.4,,,,,,
Columbia,47 CHAPMAN,31,,388.0,422.0,47.9,316.0,430.0,42.36,-5.54,true,Gutierrez,7.9,,,,,,
Columbia,48 S DEER ISLAND,31,,115.0,249.0,31.59,102.0,237.0,30.09,-1.5,true,Gutierrez,6.9,,,,,,
Columbia,49 N DEER ISLAND,31,,206.0,361.0,36.33,181.0,355.0,33.77,-2.56,true,Gutierrez,5.5,,,,,,
Columbia,50 PRESCOTT,31,,13.0,24.0,35.14,12.0,25.0,32.43,-2.71,true,Gutierrez,0.0,,,,,,
Columbia,51 MIST,31,,98.0,186.0,34.51,82.0,184.0,30.83,-3.68,true,Gutierrez,6.3,,,,,,
Columbia,53 CITY OF COLUMBIA CITY,31,,625.0,690.0,47.53,528.0,700.0,43.0,-4.53,true,Gutierrez,6.6,,,,,,
Coos,1,9,5,469.0,998.0,31.97,377.0,1035.0,26.7,-5.27,true,Mrkvicka,3.7,401,1018,28.26,-3.71,Beaudreau,3.3
Coos,2,9,5,1027.0,1733.0,37.21,765.0,1902.0,28.68,-8.53,true,Mrkvicka,3.4,842,1863,31.13,-6.08,Beaudreau,2.0
Coos,3,9,5,1227.0,1624.0,43.04,938.0,1871.0,33.39,-9.65,true,Mrkvicka,1.5,1045,1775,37.06,-5.98,Beaudreau,1.1
Coos,4,9,5,1069.0,1031.0,50.9,870.0,1139.0,43.31,-7.59,true,Mrkvicka,4.3,953,1074,47.02,-3.88,Beaudreau,3.5
Coos,5,9,5,1515.0,1803.0,45.66,1273.0,1944.0,39.57,-6.09,true,Mrkvicka,3.0,1344,1916,41.23,-4.43,Beaudreau,1.7
Coos,6,9,5,986.0,981.0,50.13,805.0,1093.0,42.41,-7.72,true,Mrkvicka,3.5,862,1055,44.97,-5.16,Beaudreau,2.5
Coos,7,9,5,1078.0,1178.0,47.78,908.0,1268.0,41.73,-6.05,true,Mrkvicka,3.5,968,1246,43.72,-4.06,Beaudreau,1.9
Coos,8,9,5,1186.0,2058.0,36.56,1009.0,2157.0,31.87,-4.69,true,Mrkvicka,2.4,1075,2085,34.02,-2.54,Beaudreau,2.6
Coos,9,9,5,166.0,156.0,51.55,141.0,166.0,45.93,-5.62,true,Mrkvicka,4.7,152,158,49.03,-2.52,Beaudreau,3.7
Coos,10,1,1,739.0,1558.0,32.17,646.0,1592.0,28.87,-3.3,true,Cecil,2.6,595,1623,26.83,-5.34,Preciado-McAlister,3.4
Coos,11,1,1,513.0,1335.0,27.76,473.0,1328.0,26.26,-1.5,true,Cecil,2.5,413,1382,23.01,-4.75,Preciado-McAlister,2.9
Coos,12,1,1,716.0,1283.0,35.82,651.0,1292.0,33.5,-2.32,true,Cecil,2.8,591,1345,30.53,-5.29,Preciado-McAlister,3.2
Coos,13,1,1,371.0,854.0,30.29,336.0,888.0,27.45,-2.84,true,Cecil,0.1,307,902,25.39,-4.9,Preciado-McAlister,1.3
Coos,14,1,1,334.0,1296.0,20.49,304.0,1271.0,19.3,-1.19,true,Cecil,3.4,282,1271,18.16,-2.33,Preciado-McAlister,4.7
Coos,15,1,1,128.0,347.0,26.95,111.0,349.0,24.13,-2.82,true,Cecil,3.2,107,346,23.62,-3.33,Preciado-McAlister,4.6
Coos,16,1,1,1056.0,937.0,52.99,979.0,970.0,50.23,-2.76,true,Cecil,2.2,917,1030,47.1,-5.89,Preciado-McAlister,2.3
Coos,17,1,1,1023.0,1459.0,41.22,917.0,1500.0,37.94,-3.28,true,Cecil,2.6,864,1542,35.91,-5.31,Preciado-McAlister,3.1
Coos,18,1,1,128.0,218.0,36.99,109.0,223.0,32.83,-4.16,true,Cecil,4.0,99,236,29.55,-7.44,Preciado-McAlister,3.2
Crook,130001,59,30,148.0,376.0,28.24,139,371,27.25,-0.99,true,Samp,2.7,,,,,,
Crook,130002,59,30,110.0,321.0,25.52,100,324,23.58,-1.94,true,Samp,1.6,,,,,,
Crook,130003,59,30,79.0,160.0,33.05,81,157,34.03,0.98,true,Samp,0.4,,,,,,
Crook,130004,59,30,212.0,1022.0,17.18,197,1007,16.36,-0.82,true,Samp,2.4,,,,,,
Crook,130005,59,30,555.0,1745.0,24.13,487,1757,21.7,-2.43,true,Samp,2.4,,,,,,
Crook,130006,59,30,262.0,567.0,31.6,240,583,29.16,-2.44,true,Samp,0.7,,,,,,
Crook,130007,59,30,46.0,264.0,14.84,37,266,12.21,-2.63,true,Samp,2.3,,,,,,
Crook,130008,59,30,159.0,438.0,26.63,145,444,24.62,-2.01,true,Samp,1.3,,,,,,
Crook,130009,59,30,38.0,169.0,18.36,27,174,13.43,-4.93,true,Samp,2.9,,,,,,
Crook,130010,59,30,136.0,252.0,35.05,122,257,32.19,-2.86,true,Samp,2.3,,,,,,
Crook,130011,59,30,679.0,1718.0,28.33,543,1834,22.84,-5.49,true,Samp,0.8,,,,,,
Crook,130012,59,30,26.0,128.0,16.88,21,136,13.38,-3.5,true,Samp,-1.9,,,,,,
Crook,130013,59,30,160.0,647.0,19.83,149,666,18.28,-1.55,true,Samp,-1.0,,,,,,
Crook,130014,59,30,120.0,364.0,24.79,122,344,26.18,1.39,true,Samp,3.7,,,,,,
Crook,130015,59,30,292.0,972.0,23.1,271,980,21.66,-1.44,true,Samp,1.0,,,,,,
Crook,130016,59,30,138.0,576.0,19.33,119,569,17.3,-2.03,true,Samp,3.6,,,,,,
Crook,130017,59,30,676.0,2293.0,22.77,631,2315,21.42,-1.35,true,Samp,0.8,,,,,,
Curry,1,1,1,45.0,53.0,45.92,35.0,59.0,37.23,-8.69,true,Cecil,4.1,40,54,42.55,-3.37,Preciado-McAlister,4.1
Curry,2,1,1,165.0,318.0,34.16,148.0,330.0,30.96,-3.2,true,Cecil,1.0,145,337,30.08,-4.08,Preciado-McAlister,0.2
