county,precinct,hd,sd,pres_harris,pres_trump,pres_dem2p,house_dem,house_rep,house_dem2p,delta,has_metric,dem_name,undervote,sen_dem,sen_rep,sen_dem2p,sen_delta,sen_dem_name,sen_undervote
Washington,418,36,18,1990.0,868.0,69.63,1847.0,970.0,65.57,-4.06,True,Pham,1.4,1745,1075,61.88,-7.75,Campos,1.3
Washington,419,26,,1194.0,534.0,69.1,1062.0,607.0,63.63,-5.47,True,Neron,3.4,,,,,,
Washington,420,37,,1998.0,1058.0,65.38,1880.0,1162.0,61.8,-3.58,True,Walters,0.5,,,,,,
Washington,421,25,,322.0,132.0,70.93,308.0,143.0,68.29,-2.63,True,Bowman,0.7,,,,,,
Washington,423,37,,1985.0,906.0,68.66,1898.0,959.0,66.43,-2.23,True,Walters,1.2,,,,,,
Washington,424,26,,2566.0,1845.0,58.17,2302.0,2059.0,52.79,-5.39,True,Neron,1.1,,,,,,
Washington,425,26,,293.0,364.0,44.6,264.0,389.0,40.43,-4.17,True,Neron,0.6,,,,,,
Washington,426,36,18,191.0,224.0,46.02,162.0,244.0,39.9,-6.12,True,Pham,2.2,157,254,38.2,-7.82,Campos,1.0
Washington,427,26,,816.0,402.0,67.0,757.0,455.0,62.46,-4.54,True,Neron,0.5,,,,,,
Washington,428,37,,859.0,437.0,66.28,793.0,453.0,63.64,-2.64,True,Walters,3.9,,,,,,
Washington,429,36,18,1689.0,870.0,66.0,1594.0,884.0,64.33,-1.68,True,Pham,3.2,1545,949,61.95,-4.05,Campos,2.5
Washington,430,36,18,1039.0,1143.0,47.62,941.0,1197.0,44.01,-3.6,True,Pham,2.0,885,1243,41.59,-6.03,Campos,2.5
Washington,431,36,18,331.0,400.0,45.28,289.0,440.0,39.64,-5.64,True,Pham,0.3,263,474,35.69,-9.59,Campos,-0.8
Washington,432,26,,194.0,97.0,66.67,192.0,97.0,66.44,-0.23,True,Neron,0.7,,,,,,
Washington,433,37,,1312.0,761.0,63.29,1215.0,816.0,59.82,-3.47,True,Walters,2.0,,,,,,
Washington,434,36,18,2835.0,1372.0,67.39,2666.0,1425.0,65.17,-2.22,True,Pham,2.8,2592,1510,63.19,-4.2,Campos,2.5
Washington,435,26,,2393.0,1519.0,61.17,2195.0,1692.0,56.47,-4.7,True,Neron,0.6,,,,,,
Washington,436,37,,1302.0,824.0,61.24,1164.0,912.0,56.07,-5.17,True,Walters,2.4,,,,,,
Washington,437,37,,40.0,17.0,70.18,36.0,23.0,61.02,-9.16,True,Walters,-3.5,,,,,,
Washington,438,37,,186.0,292.0,38.91,172.0,296.0,36.75,-2.16,True,Walters,2.1,,,,,,
Washington,439,34,,1667.0,592.0,73.79,1600.0,598.0,72.79,-1.0,True,Reynolds,2.7,,,,,,
Washington,440,36,18,928.0,455.0,67.1,889.0,447.0,66.54,-0.56,True,Pham,3.4,868,474,64.68,-2.42,Campos,3.0
Washington,441,25,,52.0,12.0,81.25,56.0,13.0,81.16,-0.09,True,Bowman,-7.8,,,,,,
Washington,442,26,,1513.0,1042.0,59.22,1376.0,1167.0,54.11,-5.11,True,Neron,0.5,,,,,,
Washington,443,31,,0.0,11.0,0.0,1.0,0.0,100.0,,False,Gutierrez,90.9,,,,,,
Multnomah,2801,28,,6032,592,91.06,5739,674,89.49,-1.57,True,Grayber,3.2,,,,,,
Multnomah,2802,28,,839,151,84.75,771,193,79.98,-4.77,True,Grayber,2.6,,,,,,
Multnomah,2803,28,,2112,180,92.15,2085,177,92.18,0.03,True,Grayber,1.3,,,,,,
Multnomah,2804,28,,5378,687,88.67,5053,804,86.27,-2.4,True,Grayber,3.4,,,,,,
Multnomah,2805,28,,6549,898,87.94,6218,942,86.84,-1.1,True,Grayber,3.9,,,,,,
Multnomah,2806,28,,6749,747,90.03,6540,778,89.37,-0.66,True,Grayber,2.4,,,,,,
Multnomah,3101,31,,1208,570,67.94,936,675,58.1,-9.84,True,Gutierrez,9.4,,,,,,
Multnomah,3301,33,,835,217,79.37,729,265,73.34,-6.03,True,Jones-Isadore,5.5,,,,,,
Multnomah,3302,33,,6061,521,92.08,5476,688,88.84,-3.24,True,Jones-Isadore,6.4,,,,,,
